Crop,Symptoms,Expected Disease,Predicted Disease,Severity,Confidence Score,Cause,Match Type,Accuracy (%),Organic Treatment,Chemical Treatment,Immediate Action,Prevention
Apple,"velvety brown-to-olive spots on leaves and fruit, puckering of leaves",Apple Scab,Apple Scab,Moderate,0.98,Venturia inaequalis (fungus),Exact,100.0,"Copper-based fungicides, Sulfur-based sprays, Neem oil","Captan, Myclobutanil, Strobilurin fungicides",Remove and destroy all fallen leaves and infected fruit from the orchard floor to reduce fungal inoculum.,"Prune trees to improve air circulation and sunlight penetration, Apply fungicides during the high-risk period in spring, Rake and dispose of leaf litter in the autumn, Select scab-resistant apple cultivars"
Apple,"blossoms and shoots rapidly turning brown to black, looking scorched or burned, watery ooze on branches",Fire Blight,Fire Blight,Severe,0.98,Erwinia amylovora bacterium,Exact,100.0,"Pruning infected branches well below the visible necrotic tissue, Removal and destruction of infected plant debris","Streptomycin or other antibiotic treatments applied during bloom, Copper-based bactericides","Prune out all infected shoots and branches at least 12 inches below the visible 'scorched' area, disinfecting pruning tools with 70% alcohol between every single cut to prevent spread.","Select resistant apple cultivars, Avoid over-fertilization with nitrogen which promotes succulent growth, Maintain proper orchard sanitation, Monitor weather conditions for high humidity and warmth"
Apple,"powdery white growth on shoots and leaves, distortion and folding of leaves, stunted terminal growth",Powdery Mildew,Apple Powdery Mildew,Moderate,0.98,Podosphaera leucotricha (fungus),Exact,100.0,"Neem oil application, Sulfur-based organic sprays, Potassium bicarbonate solutions, Milk-based foliar sprays","Myclobutanil, Fenarimol, Sulfur-based fungicides",Prune and destroy heavily infected shoots and leaves to reduce fungal inoculum.,"Ensure proper spacing between trees for better air circulation, Avoid excessive nitrogen fertilization which promotes succulent growth susceptible to infection, Maintain strict orchard sanitation by removing infected plant debris, Plant mildew-resistant apple cultivars"
Avocado,"pale green or yellow wilted leaves, dieback of branches, roots black and brittle with no feeder roots",Phytophthora Root Rot,Phytophthora Root Rot,Severe,0.95,Phytophthora cinnamomi (Oomycete),Exact,100.0,"Improve soil drainage and aeration, Adjust irrigation schedules to prevent waterlogging, Apply beneficial microbes like Trichoderma species to the rhizosphere","Phosphonate-based fungicides (applied via soil drench or trunk injection), Metalaxyl-M",Stop all irrigation immediately and ensure the soil is not saturated to slow the spread of the water mold.,"Plant in well-draining soil or raised beds, Select Phytophthora-resistant avocado cultivars, Maintain proper tree spacing to prevent moisture retention, Avoid soil compaction around the root zone"
Banana,"narrow, dark brown streaks on leaves running parallel to veins, center of streaks turning gray and dying",Black Sigatoka,Banana Xanthomonas Wilt (BXW),Severe,0.92,Xanthomonas fastidiosa bacterium,Mismatch,0.0,"Removal and deep burial or burning of infected plants, Disinfection of tools using 70% ethanol or 10% bleach solution","Copper-based bactericides for surface protection, Strictly controlled use of systemic bactericides (low efficacy)",Roguing: Immediately cut down and burn all symptomatic plants and their pseudostems to contain the spread.,"Use certified disease-free planting material (suckers or tissue culture), Strict tool sanitation between plants, Crop rotation with non-host crops, Strict field hygiene and removal of weeds"
Banana,"progressive yellowing and wilting of older leaves, leaf sheaths splitting at the base, reddish-brown vascular discoloration inside stem",Panama Disease,Fusarium Wilt (Panama Disease),Critical,0.98,Fusarium oxysporum f. sp. cubense (soil-borne fungus),Exact,100.0,"Soil solarization to reduce fungal load, Application of beneficial microbes such as Trichoderma species, Crop rotation with non-host crops","Prochloraz (used for preventative soil management), Soil fumigants (highly restricted and primarily preventative)",Eradicate and burn infected plants and their root systems immediately to prevent the spread of spores through soil and water.,"Plant only resistant cultivars, Implement strict biosecurity and sanitation protocols for tools and footwear, Maintain proper field drainage to prevent waterborne spore movement, Avoid moving soil from infested areas to clean areas"
Banana,"narrow yellow streaks on leaves running parallel to veins, turning brown and drying into large necrotic spots",Yellow Sigatoka,Banana Xanthomonas Wilt (BXW),Severe,0.85,Bacterium Xanthomonas fastidiosa,Mismatch,0.0,"Strict sanitation of farm tools, Removal of symptomatic plant parts, Crop rotation with non-host plants",Copper-based bactericides for preventative application,Eradicate and burn all infected plants and surrounding plant debris immediately to prevent bacterial spread.,"Use of certified disease-free suckers or tissue-cultured plants, Implementing strict farm biosecurity and quarantine, Regular monitoring of plantations, Control of insect vectors"
Barley,"light brown, net-like patterned lesions on leaves, net-type leaf spot",Net Blotch,Net Blotch,Moderate,0.95,Fungal pathogen Pyrenophora teres,Exact,100.0,"Crop rotation with non-cereal species, Use of resistant varieties, Balanced nitrogen application","Triazole fungicides, Strobilurin fungicides",Assess the extent of leaf area affected and apply fungicides if severity increases.,"Rotate crops to break the pathogen life cycle, Select cultivars with resistance to Pyrenophora teres, Avoid high nitrogen levels which can increase susceptibility, Improve field drainage and airflow"
Cabbage,"V-shaped yellow lesions starting from leaf margins, veins inside lesions turning black",Black Rot,Black Rot,Moderate,0.98,Xanthomonas campestris pv. campestris,Exact,100.0,"Copper-based sprays, Biological control agents (e.g., Bacillus subtilis)","Copper hydroxide, Streptomycin (subject to local regulations)",Immediately remove and destroy infected plants and debris to limit pathogen spread.,"Implement a 3-year crop rotation cycle, Use certified disease-free seeds, Ensure proper plant spacing for improved airflow, Use drip irrigation instead of overhead watering to keep foliage dry, Sanitize farming tools between uses"
Cabbage,"stunted growth, yellowing leaves, roots swollen and distorted into club-like shapes",Clubroot,Clubroot,Severe,0.98,Plasmodiophora brassicae (soil-borne protist),Exact,100.0,"Apply lime to increase soil pH to 7.0 or higher, Implement a 3-5 year crop rotation with non-brassica species, Soil solarization during hot summer months",Soil fumigation (consult local regulations and professional guidance),Remove and destroy all infected plants and the immediate surrounding soil; do not compost infected plant material as spores can survive for years.,"Maintain alkaline soil conditions (pH > 7.0), Avoid overwatering and ensure excellent soil drainage, Use certified pathogen-free seeds and seedlings, Clean garden tools thoroughly after working in potentially infested areas"
