Crop,Country,Region,Farm Size (Acres),Predicted Yield/Acre (Tons),Actual Yield/Acre (Tons),Absolute Error (Tons),Error (%),Accuracy (%),Ground Truth Source,AI Price Citation
Banana,India,Tamil Nadu,3,30.0,12.0,18.0,150.0,0.0,NHB India Horticulture Statistics (2023),Agmarknet and regional wholesale market trends for Tamil Nadu
Banana,India,Tamil Nadu,6,20.0,12.0,8.0,66.67,33.33,NHB India Horticulture Statistics (2023),Agmarknet (TN Mandi wholesale rates)
Banana,India,Tamil Nadu,9,25.0,12.0,13.0,108.33,0.0,NHB India Horticulture Statistics (2023),Local Mandi Wholesale Price Benchmarks (Tamil Nadu)
Barley,UK,England,3,1.62,2.6,0.98,37.69,62.31,UK DEFRA Agriculture Statistics (2023),AHDB Cereals Market Data
Barley,UK,England,6,1.75,2.6,0.85,32.69,67.31,UK DEFRA Agriculture Statistics (2023),AHDB Market Reports
Barley,UK,England,9,1.7,2.6,0.9,34.62,65.38,UK DEFRA Agriculture Statistics (2023),AHDB Market Benchmarks
Cassava,Nigeria,Benue State,3,6.0,3.5,2.5,71.43,28.57,FAO FAOSTAT Nigeria (2023),NBS Nigeria Food Price Index
Cassava,Nigeria,Benue State,6,8.5,3.5,5.0,142.86,0.0,FAO FAOSTAT Nigeria (2023),Benue State local market benchmarks and NBS agricultural reports
Cassava,Nigeria,Benue State,9,7.5,3.5,4.0,114.29,0.0,FAO FAOSTAT Nigeria (2023),Benue State Commodity Markets and NBS Nigeria
Chickpea,India,Madhya Pradesh,3,1.0,0.45,0.55,122.22,0.0,India Ministry of Agriculture (2023-24),Current MP Mandi wholesale rates for Chana
Chickpea,India,Madhya Pradesh,6,1.0,0.45,0.55,122.22,0.0,India Ministry of Agriculture (2023-24),Current Mandi rates for Madhya Pradesh (Indore/Ujjain markets)
Chickpea,India,Madhya Pradesh,9,1.0,0.45,0.55,122.22,0.0,India Ministry of Agriculture (2023-24),Reference to MSP 2024-25 and regional agricultural input costs in MP
Cocoa,Ghana,Ashanti Region,3,0.7,0.18,0.52,288.89,0.0,Ghana Cocoa Board (COCOBOD) Annual Report (2023),COCOBOD 2023/2024 Farmgate Price Benchmarks
Cocoa,Ghana,Ashanti Region,6,0.5,0.18,0.32,177.78,0.0,Ghana Cocoa Board (COCOBOD) Annual Report (2023),COCOBOD (Ghana Cocoa Board) Producer Price Benchmarks
Cocoa,Ghana,Ashanti Region,9,0.7,0.18,0.52,288.89,0.0,Ghana Cocoa Board (COCOBOD) Annual Report (2023),COCOBOD producer price adjustments and regional input cost benchmarks
Coffee,Brazil,Minas Gerais,3,0.607,0.65,0.043,6.67,93.33,CONAB Brazil Coffee Report (2023),CEPEA/ESALQ Arabica coffee market benchmarks
Coffee,Brazil,Minas Gerais,6,1.0,0.65,0.35,53.85,46.15,CONAB Brazil Coffee Report (2023),CEPEA/CONAB Market Price Benchmarks
Coffee,Brazil,Minas Gerais,9,0.65,0.65,0.0,0.0,100.0,CONAB Brazil Coffee Report (2023),CEPEA/ESALQ Coffee Market Benchmarks
Corn,USA,Nebraska,3,5.04,4.7,0.34,7.23,92.77,USDA NASS Crop Production Report (2023),USDA NASS and regional Nebraska elevator benchmarks
Corn,Brazil,Mato Grosso,3,4.5,3.2,1.3,40.62,59.38,CONAB Brazil Crop Bulletin (2023-24),CONAB/CEPEA agricultural market benchmarks
Corn,USA,Iowa,5,5.04,4.8,0.24,5.0,95.0,USDA NASS Crop Production Report (2023),USDA NASS & Iowa Corn Growers Association
Corn,USA,Nebraska,6,5.18,4.7,0.48,10.21,89.79,USDA NASS Crop Production Report (2023),USDA National Agricultural Statistics Service and CME Corn Futures
Corn,Brazil,Mato Grosso,6,4.5,3.2,1.3,40.62,59.38,CONAB Brazil Crop Bulletin (2023-24),CEPEA/CONAB Market Price Benchmarks
Corn,USA,Nebraska,9,5.04,4.7,0.34,7.23,92.77,USDA NASS Crop Production Report (2023),USDA NASS and CME Group
Corn,Brazil,Mato Grosso,9,4.5,3.2,1.3,40.62,59.38,CONAB Brazil Crop Bulletin (2023-24),CEPEA Corn Price Index for Mato Grosso region
Corn,USA,Iowa,10,5.18,4.8,0.38,7.92,92.08,USDA NASS Crop Production Report (2023),Current market benchmark for corn in the US Midwest (CME Group/USDA)
Corn,USA,Iowa,15,5.04,4.8,0.24,5.0,95.0,USDA NASS Crop Production Report (2023),USDA NASS and CBOT (Chicago Board of Trade) corn futures benchmarks
Cotton,USA,Georgia,3,1.75,0.5,1.25,250.0,0.0,USDA NASS Cotton Report (2023),Based on USDA Cotton price benchmarks (approx. $0.75/lb converted to metric ton equivalent)
Cotton,USA,Texas,5,1.7,0.45,1.25,277.78,0.0,USDA NASS Cotton Report (2023),USDA NASS and Texas Cotton Producers market benchmarks
Cotton,USA,Georgia,6,0.5,0.5,0.0,0.0,100.0,USDA NASS Cotton Report (2023),USDA Cotton Market Benchmarks
Cotton,USA,Georgia,9,0.45,0.5,0.05,10.0,90.0,USDA NASS Cotton Report (2023),USDA Cotton Price Benchmarks
Cotton,USA,Texas,10,0.6,0.45,0.15,33.33,66.67,USDA NASS Cotton Report (2023),USDA NASS Commodity Price Reports
Cotton,USA,Texas,15,1.1,0.45,0.65,144.44,0.0,USDA NASS Cotton Report (2023),USDA NASS Cotton Commodity Price Benchmarks
Groundnut,India,Gujarat,3,0.85,0.9,0.05,5.56,94.44,India Ministry of Agriculture (2023-24),APMC Gujarat Mandi Rates
Groundnut,India,Gujarat,6,0.85,0.9,0.05,5.56,94.44,India Ministry of Agriculture (2023-24),Reference to APMC Junagadh/Rajkot market trends
